a,b,seq,,,,,,,,22,43,1
37,42,31,,,,,,,,,,
38,42,1,,,,,,,,,,
39,42,3,,,,,,,,,,
40,42,21,,,,,,,,,,
41,42,7,,,,,,,,,,
1,43,3,,,,,,,,,,
2,43,1,,,,,,,,,,
3,43,0,,,,,,,,,,
4,43,8,,,,,,,,,,
5,43,4,,,,,,,,,,
6,43,3,,,,,,,,,,
7,43,1,,,,,,,,,,
8,43,28,,,,,,,,,,
9,43,13,,,,,,,,,,
10,43,0,,,,,,,,,,
11,43,17,,,,,,,,,,
12,43,1,,,,,,,,,,
13,43,4,,,,,,,,,,
14,43,7,,,,,,,,,,
15,43,8,,,,,,,,,,
16,43,35,,,,,,,,,,
17,43,0,,,,,,,,,,
18,43,3,,,,,,,,,,
19,43,14,,,,,,,,,,
20,43,36,,,,,,,,,,
21,43,4,,,,,,,,,,
22,43,1,,,,,,,,,,
23,43,3,,,,,,,,,,
24,43,0,,,,,,,,,,
